instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,rootUB, rootLB, timeOnRoot, timeOnCG, timeOnRMP, timeOnPP, numSolvedNodes, numPrunedByInfeasibility, numPrunedByOptimality, numPrunedByBound, numLeftNodes, numNewLabel, numDominatedLabel, numPrunedLabel, timeOnLabelLb
L_00000000 , 10 , 1 , 3600, 0.099,true, true, 3,229.000, 229.000, 0.000, 229.000, 207.778, 0.036, 0.044, 0.005, 0.025, 3, 1, 0, 1, 0,391,258,0,0.012000000000000004
L_00000001 , 10 , 1 , 3600, 0.021,true, true, 3,340.000, 340.000, 0.000, 340.000, 332.000, 0.017, 0.018, 0.002, 0.014, 3, 1, 0, 1, 0,241,153,17,0.008
L_00000002 , 10 , 1 , 3600, 0.018,true, true, 3,254.000, 254.000, 0.000, 256.000, 237.400, 0.008, 0.009, 0.001, 0.004, 3, 1, 1, 0, 0,146,76,0,0.003
L_00000003 , 10 , 1 , 3600, 0.021,true, true, 3,338.000, 338.000, 0.000, 338.000, 329.800, 0.017, 0.018, 0.004, 0.006, 3, 1, 0, 1, 0,370,206,81,0.003
L_00000004 , 10 , 1 , 3600, 0.009,true, true, 1,189.000, 189.000, 0.000, 189.000, 189.000, 0.007, 0.007, 0.003, 0.002, 1, 0, 1, 0, 0,10,0,0,0.002
L_00000005 , 10 , 1 , 3600, 0.032,true, true, 3,307.000, 307.000, 0.000, 310.000, 295.700, 0.028, 0.029, 0.009, 0.008, 3, 1, 1, 0, 0,237,143,11,0.002
L_00000006 , 10 , 1 , 3600, 0.021,true, true, 3,351.000, 351.000, 0.000, 351.000, 344.100, 0.017, 0.019, 0.006, 0.007, 3, 1, 0, 1, 0,244,120,0,0.003
L_00000007 , 10 , 1 , 3600, 0.025,true, true, 3,268.000, 268.000, 0.000, 271.000, 252.800, 0.021, 0.022, 0.004, 0.007, 3, 1, 1, 0, 0,216,103,0,0.002
L_00000008 , 10 , 1 , 3600, 0.018,true, true, 3,247.000, 247.000, 0.000, 249.000, 229.700, 0.014, 0.015, 0.005, 0.003, 3, 1, 1, 0, 0,267,152,0,0.001
L_00000009 , 10 , 1 , 3600, 0.025,true, true, 3,357.000, 357.000, 0.000, 357.000, 350.700, 0.015, 0.020, 0.001, 0.010, 3, 1, 0, 1, 0,1002,570,113,0.002
L_00000010 , 10 , 1 , 3600, 0.016,true, true, 3,251.000, 251.000, 0.000, 252.000, 234.100, 0.012, 0.013, 0.004, 0.003, 3, 1, 1, 0, 0,264,146,0,0.0
L_00000011 , 10 , 1 , 3600, 0.019,true, true, 3,300.000, 300.000, 0.000, 300.000, 288.000, 0.013, 0.016, 0.002, 0.007, 3, 1, 0, 1, 0,848,551,8,0.002
L_00000012 , 10 , 1 , 3600, 0.023,true, true, 3,238.000, 238.000, 0.000, 238.000, 218.794, 0.020, 0.021, 0.004, 0.003, 3, 1, 0, 1, 0,472,317,0,0.002
L_00000013 , 10 , 1 , 3600, 0.022,true, true, 3,236.000, 236.000, 0.000, 236.000, 214.518, 0.018, 0.018, 0.001, 0.003, 3, 1, 0, 1, 0,647,435,0,0.001
L_00000014 , 10 , 1 , 3600, 0.016,true, true, 3,240.000, 240.000, 0.000, 241.000, 222.000, 0.012, 0.012, 0.001, 0.002, 3, 1, 1, 0, 0,269,134,0,0.001
